bgg_id,boardgame_name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users
174430.0,Gloomhaven,2017.0,1,4,120,14,42055,8.79,1,3.86,68323.0
161936.0,Pandemic Legacy: Season 1,2015.0,2,4,60,13,41643,8.61,2,2.84,65294.0
224517.0,Brass: Birmingham,2018.0,2,4,120,14,19217,8.66,3,3.91,28785.0
167791.0,Terraforming Mars,2016.0,1,5,120,12,64864,8.43,4,3.24,87099.0
233078.0,Twilight Imperium: Fourth Edition,2017.0,3,6,480,14,13468,8.7,5,4.22,16831.0
291457.0,Gloomhaven: Jaws of the Lion,2020.0,1,4,120,14,8392,8.87,6,3.55,21609.0
182028.0,Through the Ages: A New Story of Civilization,2015.0,2,4,120,14,23061,8.43,7,4.41,26985.0
220308.0,Gaia Project,2017.0,1,4,150,12,16352,8.49,8,4.35,20312.0
187645.0,Star Wars: Rebellion,2016.0,2,4,240,14,23081,8.42,9,3.71,34849.0
12333.0,Twilight Struggle,2005.0,2,2,180,13,40814,8.29,10,3.59,56219.0
193738.0,Great Western Trail,2016.0,2,4,150,12,29457,8.3,11,3.71,35804.0
115746.0,War of the Ring: Second Edition,2012.0,2,4,180,13,13725,8.49,12,4.14,22281.0
162886.0,Spirit Island,2017.0,1,4,120,13,25722,8.35,13,4.01,38254.0
169786.0,Scythe,2016.0,1,5,115,14,57871,8.24,14,3.41,75640.0
84876.0,The Castles of Burgundy,2011.0,2,4,90,12,46507,8.13,15,3.0,63058.0
120677.0,Terra Mystica,2012.0,2,5,150,12,39284,8.14,16,3.96,42720.0
173346.0,7 Wonders Duel,2015.0,2,2,30,10,60302,8.11,17,2.23,94343.0
124361.0,Concordia,2013.0,2,5,100,13,28105,8.12,18,3.03,32014.0
28720.0,Brass: Lancashire,2007.0,2,4,120,14,19400,8.17,19,3.86,25429.0
266192.0,Wingspan,2019.0,1,5,70,10,43165,8.11,20,2.42,61775.0
177736.0,A Feast for Odin,2016.0,1,4,120,12,17377,8.2,21,3.84,22794.0
205637.0,Arkham Horror: The Card Game,2016.0,1,2,120,14,28577,8.17,22,3.44,50883.0
183394.0,Viticulture Essential Edition,2015.0,1,6,90,13,29486,8.08,23,2.91,39747.0
167355.0,Nemesis,2018.0,1,5,180,12,12290,8.4,24,3.35,17574.0
164928.0,Orléans,2014.0,2,4,90,12,22244,8.09,25,3.05,27093.0
96848.0,Mage Knight Board Game,2011.0,1,4,240,14,27850,8.1,26,4.31,39421.0
237182.0,Root,2018.0,2,4,90,10,24412,8.1,27,3.67,37715.0
3076.0,Puerto Rico,2002.0,3,5,150,12,63128,7.99,28,3.28,73413.0
175914.0,Food Chain Magnate,2015.0,2,5,240,14,13863,8.14,29,4.2,16413.0
102794.0,Caverna: The Cave Farmers,2013.0,1,7,210,12,28123,8.02,30,3.79,35475.0
31260.0,Agricola,2007.0,1,5,150,12,63498,7.94,31,3.64,75679.0
170216.0,Blood Rage,2015.0,2,4,90,14,33940,8.0,32,2.88,40664.0
205059.0,Mansions of Madness: Second Edition,2016.0,1,5,180,14,25116,8.06,33,2.69,39007.0
180263.0,The 7th Continent,2017.0,1,4,1000,14,16868,8.15,34,2.87,30488.0
221107.0,Pandemic Legacy: Season 2,2017.0,2,4,60,14,12100,8.15,35,3.25,24373.0
